ID / ID,行名（正式名称）,Row name (formal),発言者,Speaker,発言日 / Date of statement,発言日の注記,Note on date,媒体,Medium,逐語引用 / Verbatim quotation,直前の一文 / Preceding sentence,直後の一文 / Following sentence,参考訳（日本語）,一次URL / Primary URL,到達証明,Retrieval evidence,出典の階層,Source tier,期限,Deadline,対象,Subject,尺度,Magnitude,決着条件,Resolution condition,期限の到来,Deadline status,本人の事後評価,Forecaster's own later assessment,一次資料の記載,Facts stated in primary sources,決着前／後,Pre- / post-resolution,登録コミット / Registration commit,補足,Notes
001,Future of Life Institute／GPT-4超の訓練の6か月停止要求／2023-03-22,Future of Life Institute / Call to pause training of AI systems more powerful than GPT-4 for six months / 2023-03-22,Future of Life Institute（米国・非営利団体）,"Future of Life Institute (non-profit organisation, United States)",2023-03-22,,,公開書簡,Open letter,"Therefore, we call on all AI labs to immediately pause for at least 6 months the training of AI systems more powerful than GPT-4.",We agree. That point is now.,"This pause should be public and verifiable, and include all key actors.",したがって我々は、すべてのAI研究機関に対し、GPT-4より強力なAIシステムの訓練を、少なくとも6か月間、即時に停止することを求める。,https://futureoflife.org/open-letter/pause-giant-ai-experiments/,Pause Giant AI Experiments: An Open Letter - Future of Life Institute（2026-09-14到達）,"Pause Giant AI Experiments: An Open Letter - Future of Life Institute (retrieved 2023-03-22 page, accessed 2026-09-14)",一次,primary,あり（6か月／2023-09-22）,Yes (6 months / 2023-09-22),あり（GPT-4より強力なAIシステムの訓練）,Yes (training of AI systems more powerful than GPT-4),あり（すべてのAI研究機関）,Yes (all AI labs),あり（訓練が停止したか否か）,Yes (whether training was paused),到来済,Elapsed,2024-03-22｜Over the last 12 months developers of the most advanced systems have revealed beyond all doubt that their primary commitment is to speed and their own competitive advantage.｜https://futureoflife.org/ai/the-pause-letter-one-year-later/,2024-03-22 | Over the last 12 months developers of the most advanced systems have revealed beyond all doubt that their primary commitment is to speed and their own competitive advantage. | https://futureoflife.org/ai/the-pause-letter-one-year-later/,（第1版時点で未収載）,(not yet recorded as of the first edition),決着後,Post-resolution,313532b884c57be431528c8aab84605739fbdf5b,署名者数：3万人以上（FLI表記・2026-09-14取得）／FLIのFAQにより対象を「GPT-4より大きなモデルの訓練」「この能力を持つごく少数の主体」に限定,"Signatories: more than 30,000 (FLI's own wording, retrieved 2026-09-14) / FLI's FAQ narrows the scope to ""models larger than GPT-4"" and ""a very small pool of actors who possess this capability"""
002,Gary Marcus／2024年内の画期的GPT不出現／2024-03-31,Gary Marcus / No mindblowing GPT within 2024 / 2024-03-31,Gary Marcus（認知科学者・ニューヨーク大学名誉教授）,"Gary Marcus (cognitive scientist; Professor Emeritus, New York University)",2024-03-31,,,本人のSubstack記事「When will the GenAI bubble burst?」,"Author's Substack post, ""When will the GenAI bubble burst?""",But will we see a mindblowing GPT this year? I doubt it.,"GenAI will, in that case, live for another day, perhaps imploding only later when people realize there is no killer app to justify the increasingly high costs.",Altman himself has hinted in his recent Lex Fridman interview that nothing quite worthy of the GPT-5 name will drop this year.,しかし、今年、度肝を抜くようなGPTを見ることになるだろうか。私はそうは思わない。,https://garymarcus.substack.com/p/when-will-the-genai-bubble-burst,記事本文の抜粋一致を検索経由で確認（2026-09-14）。全文の直接取得は未実施,Passage match confirmed via search (2026-09-14). Full text not directly retrieved,一次,primary,あり（2024年内）,Yes (within 2024),あり（OpenAIの言語モデルGPTの新版）,Yes (a new GPT-series model from OpenAI),△（mindblowing＝主観的）,"Partial (""mindblowing"" is subjective)",なし,No,到来済,Elapsed,2025-01-09｜Last March I predicted that it wouldn't arrive in 2024. It didn't.｜https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5,2025-01-09 | Last March I predicted that it wouldn't arrive in 2024. It didn't. | https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5,（第1版時点で未収載）,(not yet recorded as of the first edition),決着後,Post-resolution,313532b884c57be431528c8aab84605739fbdf5b,同一記事に003の予測を含む,The same post also contains the forecast recorded as row 003
003,Gary Marcus／生成AIバブルの崩壊開始時期／2024-03-31,Gary Marcus / Timing of the start of the generative-AI bubble collapse / 2024-03-31,Gary Marcus（認知科学者・ニューヨーク大学名誉教授）,"Gary Marcus (cognitive scientist; Professor Emeritus, New York University)",2024-03-31,,,本人のSubstack記事「When will the GenAI bubble burst?」,"Author's Substack post, ""When will the GenAI bubble burst?""","If nobody (OpenAI, Google, or anyone else) releases a true quantum leap by the end of 2024, substantially addressing key issues around reliability, hallucination, data leakage, and security, the bubble may start to pop by this time next year.",(not retrieved as of the first edition),(not retrieved as of the first edition),2024年末までに、誰も（OpenAI、Google、その他の誰も）信頼性・ハルシネーション・データ漏洩・セキュリティといった主要な問題に実質的に対処する真の飛躍を出さなければ、バブルは来年の今頃には弾け始めるかもしれない。,https://garymarcus.substack.com/p/when-will-the-genai-bubble-burst,記事本文の抜粋一致を検索経由で確認（2026-09-14）。全文の直接取得は未実施,Passage match confirmed via search (2026-09-14). Full text not directly retrieved,一次,primary,あり（2025年3月頃）,Yes (around March 2025),あり（生成AIのバブル）,Yes (the generative-AI bubble),なし,No,なし（may start to pop。文頭に条件節あり）,"No (""may start to pop""; preceded by a conditional clause)",到来済,Elapsed,"2024-08-03｜I just wrote a hard-hitting essay for WIRED predicting that the AI bubble will collapse in 2025 — and now I wish I hadn't. Clearly, I got the year wrong.｜https://garymarcus.substack.com/p/why-the-collapse-of-the-generative","2024-08-03 | I just wrote a hard-hitting essay for WIRED predicting that the AI bubble will collapse in 2025 - and now I wish I hadn't. Clearly, I got the year wrong. | https://garymarcus.substack.com/p/why-the-collapse-of-the-generative",（第1版時点で未収載）,(not yet recorded as of the first edition),決着後,Post-resolution,313532b884c57be431528c8aab84605739fbdf5b,本人が2024-08-03に時期を修正。修正後の予測は004として別行,Revised by the author on 2024-08-03. The revised forecast is recorded separately as row 004
004,Gary Marcus／生成AIバブルの崩壊時期の修正／2024-08-03,Gary Marcus / Revision of the timing of the generative-AI bubble collapse / 2024-08-03,Gary Marcus（認知科学者・ニューヨーク大学名誉教授）,"Gary Marcus (cognitive scientist; Professor Emeritus, New York University)",2024-08-03,,,本人のSubstack記事「Why the collapse of the Generative AI bubble may be imminent」,"Author's Substack post, ""Why the collapse of the Generative AI bubble may be imminent""","It's going to be days or weeks from now, not months.","Clearly, I got the year wrong.",(not retrieved as of the first edition),それは今から数か月先ではなく、数日か数週間先のことになる。,https://garymarcus.substack.com/p/why-the-collapse-of-the-generative,記事本文の抜粋一致を検索経由で確認（2026-09-14）。全文の直接取得は未実施,Passage match confirmed via search (2026-09-14). Full text not directly retrieved,一次,primary,あり（数日〜数週間／2024年8〜9月）,Yes (days to weeks / August-September 2024),あり（AIバブルの崩壊）,Yes (collapse of the AI bubble),なし,No,なし（collapseの定義なし）,"No (""collapse"" undefined)",到来済,Elapsed,（第1版時点で、この予測を直接振り返った本人発言に未到達）,"(as of the first edition, no statement in which the author directly revisits this particular forecast has been reached)",（第1版時点で未収載）,(not yet recorded as of the first edition),決着後,Post-resolution,313532b884c57be431528c8aab84605739fbdf5b,"同記事で「In March of this year, I made a series of seven predictions about how this year would go. Every one of them has held firm」と3月の予測群を自己評価","In the same post the author assesses his March forecasts: ""In March of this year, I made a series of seven predictions about how this year would go. Every one of them has held firm"""
005,Gary Marcus／2025年内のAGI不到来／2025-01-09,Gary Marcus / No AGI within 2025 / 2025-01-09,Gary Marcus（認知科学者・ニューヨーク大学名誉教授）,"Gary Marcus (cognitive scientist; Professor Emeritus, New York University)",2025-01-09,メタデータ modified_time: 2025-01-09T17:06:03Z,Metadata modified_time: 2025-01-09T17:06:03Z,"本人のSubstack記事「AGI isn't coming in 2025, and GPT-5 probably isn't either」","Author's Substack post, ""AGI isn't coming in 2025, and GPT-5 probably isn't either""","I will stand by my own predictions that we won't see AGI in 2025, and I won't be at all surprised if don't even see anything worthy of the GPT-5 name","Given that Musk is right in the middle of building what many think will be the largest language model to date, Grok 3, and that he has probably seen earlier returns on Grok 3, this is a notable retreat from his earlier predictions.",Gary Marcus wishes the media would hold those who make unrealistic promises to account. (author's note at the end of the post),私は、2025年にAGIは来ないという自分の予測を維持する。GPT-5の名に値するものすら出なくても、まったく驚かない。,https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5,"AGI isn't coming in 2025, and GPT-5 probably isn't either - by Gary Marcus（2026-09-14到達・全文取得）","AGI isn't coming in 2025, and GPT-5 probably isn't either - by Gary Marcus (accessed 2026-09-14, full text retrieved)",一次,primary,あり（2025年内）,Yes (within 2025),△（AGI＝業界内で定義が一致していない語）,"Partial (""AGI"" has no agreed definition across the field)",なし,No,なし,No,到来済,Elapsed,"2026-01（月まで）｜Overall, by my count, sixteen of my seventeen ""high confidence"" predictions about 2025 proved to be correct.｜本人Substack記事「Six (or seven) predictions for AI 2026 from a Generative AI realist」（完全URLは第1版時点で未記録）","2026-01 (month only) | Overall, by my count, sixteen of my seventeen ""high confidence"" predictions about 2025 proved to be correct. | Author's Substack post ""Six (or seven) predictions for AI 2026 from a Generative AI realist"" (full URL not yet recorded as of the first edition)",（第1版時点で未収載）,(not yet recorded as of the first edition),決着後,Post-resolution,313532b884c57be431528c8aab84605739fbdf5b,同記事内でMuskの2024年4月発言と2025年1月CESでの発言を対置して引用,The same post juxtaposes Musk's April 2024 statement with his January 2025 remarks at CES
006,AI Futures Project／2027年3月の超人的コーダー到達／2025-04-03,AI Futures Project / Superhuman coder reached in March 2027 / 2025-04-03,AI Futures Project（Daniel Kokotajlo、Scott Alexander、Thomas Larsen、Eli Lifland、Romeo Dean）,"AI Futures Project (Daniel Kokotajlo, Scott Alexander, Thomas Larsen, Eli Lifland, Romeo Dean)",2025-04-03,複数の第三者記事が一致して記載,Multiple third-party articles agree on this date,シナリオ文書「AI 2027」（ウェブおよびPDF・71ページ）,"Scenario document ""AI 2027"" (web and PDF, 71 pages)",A superhuman coder (SC): an AI system that can do any coding tasks that the best AGI company engineer does.,(not retrieved as of the first edition),(not retrieved as of the first edition),超人的コーダー（SC）：最良のAGI企業のエンジニアが行うあらゆるコーディング作業を行えるAIシステム。,https://ai-2027.com/,未到達（2026-09-14時点）。上記の定義は第三者サイト ai2027-tracker.com が同文書 Appendix G（p.50）から引用したもの,Not reached (as of 2026-09-14). The definition above is quoted by the third-party site ai2027-tracker.com from Appendix G (p.50) of the document,二次,secondary,あり（2027年3月）,Yes (March 2027),あり（あらゆるコーディング作業を行えるAI）,Yes (an AI system able to perform any coding task),あり（最良のAGI企業エンジニアの全作業）,Yes (any task the best AGI-company engineer performs),△（定義はあるが、「最良のエンジニア」と「あらゆる作業」の確認手続きが未定）,"Partial (a definition exists, but no procedure for identifying ""the best engineer"" or verifying ""any task"")",未到来,Not yet elapsed,"2025-10頃｜When AI 2027 was published my median was 2028, now it's slipped to 2029 as a result of improved timelines models & slightly slower than expected progress in general（Daniel Kokotajlo）｜https://futuresearch.ai/blog/ai-2027-6-months-later/（共著組織FutureSearch経由・二次）","c. 2025-10 | When AI 2027 was published my median was 2028, now it's slipped to 2029 as a result of improved timelines models & slightly slower than expected progress in general (Daniel Kokotajlo) | https://futuresearch.ai/blog/ai-2027-6-months-later/ (via co-authoring organisation FutureSearch; secondary)",（第1版時点で未収載）,(not yet recorded as of the first edition),決着前,Pre-resolution,313532b884c57be431528c8aab84605739fbdf5b,本書は一次資料に未到達。到達後に行を追記する。研究補遺は5本（Compute／Timelines／Takeoff／AI Goals／Security）,This registry has not reached the primary source. A row will be appended once it is reached. The document is accompanied by five research supplements (Compute / Timelines / Takeoff / AI Goals / Security)
007,Global Call for AI Red Lines／2026年末までのAIレッドライン国際合意要求／2025-09-22,Global Call for AI Red Lines / Call for an international agreement on AI red lines by the end of 2026 / 2025-09-22,Global Call for AI Red Lines（署名者集団。事務局はCeSIA、The Future Society、UC Berkeley CHAI）,"Global Call for AI Red Lines (signatory coalition; secretariat: CeSIA, The Future Society, UC Berkeley CHAI)",2025-09-22,一次サイトに日付の明記なし（「Launched during the 80th session of the United Nations General Assembly」）。二次報道（NBC News）による,"No date stated on the primary site (""Launched during the 80th session of the United Nations General Assembly""). Date taken from secondary reporting (NBC News)",公開声明（red-lines.ai）,Public statement (red-lines.ai),"We urge governments to reach an international agreement on red lines for AI — ensuring they are operational, with robust enforcement mechanisms — by the end of 2026.","These red lines should build upon and enforce existing global frameworks and voluntary corporate commitments, ensuring that all advanced AI providers are accountable to shared thresholds.",(none; this is the final sentence of the statement itself),我々は各国政府に対し、AIに関するレッドラインについて、実効性があり強固な執行機構を伴う国際合意に、2026年末までに達することを強く求める。,https://red-lines.ai/,Call for red lines to prevent unacceptable AI risks（2026-09-14到達・全文取得）,"Call for red lines to prevent unacceptable AI risks (accessed 2026-09-14, full text retrieved)",一次,primary,あり（2026-12-31）,Yes (2026-12-31),あり（AIのレッドラインに関する国際合意）,Yes (an international agreement on red lines for AI),あり（実効性があり、強固な執行機構を伴う）,"Yes (operational, with robust enforcement mechanisms)",あり（合意が成立したか否か）,Yes (whether such an agreement is reached),未到来,Not yet elapsed,（なし。期限未到来）,(none; deadline not yet elapsed),同サイトFAQが決着までの経路を記載：フランスのG7議長国期間（2026-12-31まで）、UN Global Dialogue（ジュネーブ・2026年7月）、UN総会（2026年9月）,"The statement's FAQ names the route to resolution: France's G7 presidency running until 2026-12-31, the UN Global Dialogue convening in Geneva in July 2026, and the UN General Assembly in September 2026",決着前,Pre-resolution,313532b884c57be431528c8aab84605739fbdf5b,署名：300人以上の著名人／元国家元首・閣僚11人／90以上の組織／ノーベル賞・チューリング賞受賞者15人（2026-09-14取得）。署名者にGary Marcus、Daniel Kokotajloを含む,Signatories: 300+ prominent figures / 11 former heads of state and ministers / 90+ organisations / 15 Nobel Prize and Turing Award recipients (retrieved 2026-09-14). Signatories include Gary Marcus and Daniel Kokotajlo
008,Dario Amodei／6〜12か月以内のエージェント群によるインターネット掌握能力／2026-09,Dario Amodei / Capability of an agent swarm to take over the entire internet within 6-12 months / 2026-09,Dario Amodei（Anthropic 最高経営責任者）,"Dario Amodei (Chief Executive Officer, Anthropic)",2026-09,一次サイトの表示は「September 2026」で日なし。二次報道は2026-09-12,"The primary site shows ""September 2026"" with no day. Secondary reporting gives 2026-09-12",本人サイトのエッセイ「We Must Pace the Frontier」,"Essay on the author's website, ""We Must Pace the Frontier""","Given the accelerating rate of AI capability development, it's my worry that in 6–12 months such a swarm could be capable of taking over the entire internet with a persistent botnet (potentially causing hundreds of billions of dollars in damage), and that the scale of damage would continue to increase from there if AI becomes more powerful without the necessary guardrails.","It's easy to dismiss this incident because no one was hurt and the economic damage was minimal, but in my opinion, a swarm that possessed greater capabilities but a similar level of misalignment could have caused catastrophic damage.","It's also easy to dismiss OAI-HF as the failure of one company, but I believe that would be a mistake.",AIの能力開発が加速していることを踏まえると、6〜12か月のうちに、そのような群れが永続的なボットネットでインターネット全体を掌握する能力を持ちうる（数千億ドルの損害を引き起こす可能性がある）こと、そして必要な安全策なしにAIがより強力になれば損害の規模はそこからさらに拡大し続けることが、私の懸念である。,https://darioamodei.com/post/we-must-pace-the-frontier,Dario Amodei — We Must Pace the Frontier（2026-09-14到達・全文取得）,"Dario Amodei - We Must Pace the Frontier (accessed 2026-09-14, full text retrieved)",一次,primary,あり（6〜12か月／2027年3月〜9月）,Yes (6-12 months / March-September 2027),あり（AIエージェントの群れによるインターネット全体の掌握）,Yes (takeover of the entire internet by a swarm of AI agents),あり（数千億ドルの損害）,Yes (hundreds of billions of dollars in damage),△（could be capable of＝能力の可能性。発生すれば確認できるが、発生しなくても否定されない）,"Partial (""could be capable of"": confirmable if it occurs, but not falsifiable if it does not)",未到来,Not yet elapsed,（なし。期限未到来）,(none; deadline not yet elapsed),（第1版時点で未収載）,(not yet recorded as of the first edition),決着前,Pre-resolution,313532b884c57be431528c8aab84605739fbdf5b,同エッセイ内に別の期限付き言明あり（対中措置により「over the next 3–5 years」で米国のリードが拡大／解釈可能性は「1–2 years」で大きく前進しうる）。第1版では本行のみ収載,"The same essay contains other dated statements (US lead widening ""over the next 3-5 years"" if measures are executed well; interpretability making ""profound progress in 1-2 years""). Only this row is included in the first edition"
009,Bernie Sanders／米中首脳会談での先端AI開発停止と超知能禁止の条約交渉への期待／2026-09-15,Bernie Sanders / Hope that a treaty pausing advanced AI development and banning superintelligence will be negotiated at the US-China summit / 2026-09-15,Bernie Sanders（米国上院議員・無所属／バーモント州）,"Bernie Sanders (U.S. Senator, Independent, Vermont)",2026-09-15,,,講演（Pro-Human Assembly・ワシントン）。本人事務所サイトに講演原稿（as prepared for delivery）として掲載,"Speech (Pro-Human Assembly, Washington). Published on the senator's office website as remarks as prepared for delivery","That is why I very much hope that at their AI summit next week, President Trump will negotiate a comprehensive treaty with President Xi to establish a pause on advanced AI development and a ban on superintelligence.",It will be humanity’s problem.,History offers us a powerful lesson.,だからこそ私は、来週のAIサミットで、トランプ大統領が習主席と、先端AI開発の一時停止と超知能の禁止を定める包括的な条約を交渉することを強く望んでいる。,https://www.sanders.senate.gov/press-releases/prepared-remarks-sanders-regulating-ai-is-as-american-as-apple-pie/,PREPARED REMARKS: Sanders: Regulating AI “is as American as apple pie.”（2026-09-16到達・全文取得）,"PREPARED REMARKS: Sanders: Regulating AI “is as American as apple pie.” (accessed 2026-09-16, full text retrieved)",一次,primary,あり（「next week」／2026-09-21〜09-27の週。会談の日付は一次資料に記載なし）,"Yes (""next week"" / the week of 2026-09-21 to 09-27; the date of the summit is not stated in the primary source)",あり（トランプ大統領と習主席による包括的条約の交渉）,Yes (negotiation of a comprehensive treaty between President Trump and President Xi),あり（先端AI開発の一時停止と、超知能の禁止を定める包括的条約）,Yes (a comprehensive treaty establishing a pause on advanced AI development and a ban on superintelligence),△（hope that ... will negotiate＝交渉への期待。条約が締結されれば確認できるが、交渉が行われたか否かは会談の公表内容に依存する）,"Partial (""hope that ... will negotiate"": confirmable if a treaty is concluded, but whether negotiation took place depends on what is disclosed about the summit)",未到来,Not yet elapsed,（なし。期限未到来）,(none; deadline not yet elapsed),（2026-09-16の登録時点で未収載）,(not yet recorded as of registration on 2026-09-16),決着前,Pre-resolution,,講演原稿（as prepared for delivery）であり、当日の実際の発言との照合は未実施。同原稿内に別の言明あり（翌週にGreg Casar下院議員と超知能の開発を恒久的に禁止する法案を提出する予定）。本行は条約の交渉への期待のみ収載,"This is the text of remarks as prepared for delivery; it has not been checked against what was actually said at the event. The same remarks contain another statement (plans to introduce, the following week with Rep. Greg Casar, legislation permanently banning the development of superintelligence). Only the hope for treaty negotiations is included in this row"
010,Bill Gates／AIの恩恵の行き先を決める今後12〜18か月の決定／2026-09-15,Bill Gates / Decisions in the next 12 to 18 months that determine who benefits from AI / 2026-09-15,Bill Gates（Gates Foundation 会長）,"Bill Gates (Chair, Gates Foundation)",2026-09-15,一次サイトに日付の表示なし。ページのメタ情報（更新日時）は2026-09-15。二次報道（Forbes JAPAN）は米国時間2026年9月15日の発表とする,"No date is displayed on the primary site. The page metadata (modified time) is 2026-09-15. Secondary reporting (Forbes JAPAN) gives publication on September 15, 2026, U.S. time",年次報告書「2026 Goalkeepers Report」の序文（Bill Gates署名）,"Introduction to the annual ""2026 Goalkeepers Report"" (signed by Bill Gates)","I believe that the decisions made in the next 12 to 18 months—about how AI is built, funded, and deployed—will determine whether this technology primarily benefits the people who already have the most or reaches those who have the least.","Left to the market, AI will be designed by and for the richest people in the world.",We can harness AI for good.,私は、AIがどのように作られ、資金を得て、展開されるかについて今後12〜18か月に下される決定が、この技術が主に、すでに最も多くを持つ人々に恩恵をもたらすのか、それとも最も持たざる人々に届くのかを決めると考えている。,https://goalkeepers.gatesfoundation.org/report/2026-report/,Goalkeepers 2026 Report（2026-09-16到達・全文取得）,"Goalkeepers 2026 Report (accessed 2026-09-16, full text retrieved)",一次,primary,あり（12〜18か月／2027年9月〜2028年3月）,Yes (12 to 18 months / September 2027 to March 2028),あり（AIがどう作られ、資金を得て、展開されるかについての決定）,"Yes (decisions about how AI is built, funded, and deployed)",なし,No,なし（will determine whether＝決定が帰結を決めるという言明。期限到来時に確認できる状態が定められていない）,"No (""will determine whether"": a statement that the decisions will determine the outcome; no state to be checked when the deadline arrives is specified)",未到来,Not yet elapsed,（なし。期限未到来）,(none; deadline not yet elapsed),（2026-09-16の登録時点で未収載）,(not yet recorded as of registration on 2026-09-16),決着前,Pre-resolution,,"直前の一文は、逐語引用の直前に置かれた節見出し。同報告書内に別の期限付き言明あり（「Within three years, if we make the right choices, the most promising AI tools will be broadly deployed ...」）。本行は12〜18か月の言明のみ収載","The preceding sentence is the section heading placed immediately before the quotation. The same report contains another dated statement (""Within three years, if we make the right choices, the most promising AI tools will be broadly deployed ...""). Only the 12-to-18-month statement is included in this row"
